timestamp,pod,cpu,memory
2026-08-11T16:33:38+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,37m,12Mi
2026-08-11T16:33:38+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:33:38+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,11Mi
2026-08-11T16:33:38+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T16:33:38+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,48m,11Mi
2026-08-11T16:33:38+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:33:38+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,36m,13Mi
2026-08-11T16:33:38+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,11Mi
2026-08-11T16:33:38+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:33:38+08:00,mongodb-0,125m,82Mi
2026-08-11T16:33:40+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,4Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,39m,19Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,36m,21Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,37m,12Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,11Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,48m,11Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,36m,13Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,11Mi
2026-08-11T16:33:40+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:33:40+08:00,mongodb-0,125m,82Mi
2026-08-11T16:33:42+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,4Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,39m,19Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,36m,21Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,37m,12Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,11Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,48m,11Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,36m,13Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,11Mi
2026-08-11T16:33:42+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:33:42+08:00,mongodb-0,125m,82Mi
2026-08-11T16:33:44+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,4Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,39m,19Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,36m,21Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,37m,12Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,11Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,48m,11Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,36m,13Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,11Mi
2026-08-11T16:33:44+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:33:44+08:00,mongodb-0,125m,82Mi
